w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
6.818162294944479e-05,0.7882834081346007,6.818162294944479e-05,0.9025057199943466,6.818162294944479e-05,0.7882834081346007,6.818162294944479e-05,0.9025057199943466,6.818162294944479e-05,0.7882834087912615,6.818162294944479e-05,0.9025057201260593,6.818162294944479e-05,0.7882834081346007,6.818162294944479e-05,0.9025057199943466
7.074559422819878e-05,0.7882837878739419,7.074559422819878e-05,0.9025061582842676,7.074559422819878e-05,0.7882837878739419,7.074559422819878e-05,0.9025061582842676,7.074559422819878e-05,0.7882837885809191,7.074559422819878e-05,0.9025061584260733,7.074559422819878e-05,0.7882837878739419,7.074559422819878e-05,0.9025061582842676
7.340598369757212e-05,0.7882841967105023,7.340598369757212e-05,0.902506630157804,7.340598369757212e-05,0.7882841967105023,7.340598369757212e-05,0.902506630157804,7.340598369757212e-05,0.788284197471652,7.340598369757212e-05,0.9025066303104753,7.340598369757212e-05,0.7882841967105023,7.340598369757212e-05,0.902506630157804
7.616641716552892e-05,0.7882846368738347,7.616641716552892e-05,0.9025071381882726,7.616641716552892e-05,0.7882846368738347,7.616641716552892e-05,0.9025071381882726,7.616641716552892e-05,0.7882846376933075,7.616641716552892e-05,0.9025071383526426,7.616641716552892e-05,0.7882846368738347,7.616641716552892e-05,0.9025071381882726
7.903065678861348e-05,0.7882851107643267,7.903065678861348e-05,0.902507685146171,7.903065678861348e-05,0.7882851107643267,7.903065678861348e-05,0.902507685146171,7.903065678861348e-05,0.7882851116465911,7.903065678861348e-05,0.9025076853231361,7.903065678861348e-05,0.7882851107643267,7.903065678861348e-05,0.902507685146171
8.200260619934131e-05,0.7882856209662953,8.200260619934131e-05,0.9025082740142841,8.200260619934131e-05,0.7882856209662953,8.200260619934131e-05,0.9025082740142841,8.200260619934131e-05,0.7882856219161632,8.200260619934131e-05,0.902508274204809,8.200260619934131e-05,0.7882856209662953,8.200260619934131e-05,0.9025082740142841
8.508631582640582e-05,0.788286170262079,8.508631582640582e-05,0.9025089080039493,8.508631582640582e-05,0.788286170262079,8.508631582640582e-05,0.9025089080039493,8.508631582640582e-05,0.7882861712847311,8.508631582640582e-05,0.9025089082090733,8.508631582640582e-05,0.788286170262079,8.508631582640582e-05,0.9025089080039493
8.82859884149515e-05,0.788286761647211,8.82859884149515e-05,0.9025095905725712,8.82859884149515e-05,0.788286761647211,8.82859884149515e-05,0.9025095905725712,8.82859884149515e-05,0.7882867627482235,8.82859884149515e-05,0.902509590793413,8.82859884149515e-05,0.788286761647211,8.82859884149515e-05,0.9025095905725712
9.16059847544371e-05,0.7882873983467548,9.16059847544371e-05,0.9025103254424767,9.16059847544371e-05,0.7882873983467548,9.16059847544371e-05,0.9025103254424767,9.16059847544371e-05,0.7882873995321324,9.16059847544371e-05,0.9025103256802401,9.16059847544371e-05,0.7882873983467548,9.16059847544371e-05,0.9025103254424767
9.505082962189511e-05,0.7882880838328916,9.505082962189511e-05,0.9025111166212115,9.505082962189511e-05,0.7882880838328916,9.505082962189511e-05,0.9025111166212115,9.505082962189511e-05,0.7882880851090993,9.505082962189511e-05,0.9025111168771935,9.505082962189511e-05,0.7882880838328916,9.505082962189511e-05,0.9025111166212115
9.862521794868784e-05,0.788288821843856,9.862521794868784e-05,0.9025119684233976,9.862521794868784e-05,0.788288821843856,9.862521794868784e-05,0.9025119684233976,9.862521794868784e-05,0.7882888232178532,9.862521794868784e-05,0.9025119686989949,9.862521794868784e-05,0.788288821843856,9.862521794868784e-05,0.9025119684233976
0.00010233402121916423,0.7882896164043226,0.00010233402121916423,0.9025128854942628,0.00010233402121916423,0.7882896164043226,0.00010233402121916423,0.9025128854942628,0.00010233402121916423,0.7882896178836025,0.00010233402121916423,0.9025128857909773,0.00010233402121916423,0.7882896164043226,0.00010233402121916423,0.9025128854942628
0.00010618229410993846,0.7882904718473537,0.00010618229410993846,0.9025138728349713,0.00010618229410993846,0.7882904718473537,0.00010618229410993846,0.9025138728349713,0.00010618229410993846,0.7882904734399845,0.00010618229410993846,0.9025138731544222,0.00010618229410993846,0.7882904718473537,0.00010618229410993846,0.9025138728349713
0.00011017528137883873,0.7882913928380283,0.00011017528137883873,0.9025149358298996,0.00011017528137883873,0.7882913928380283,0.00011017528137883873,0.9025149358298996,0.00011017528137883873,0.7882913945526951,0.00011017528137883873,0.9025149361738282,0.00011017528137883873,0.7882913928380283,0.00011017528137883873,0.9025149358298996
0.00011431842501291502,0.7882923843988862,0.00011431842501291502,0.9025160802759966,0.00011431842501291502,0.7882923843988862,0.00011431842501291502,0.9025160802759966,0.00011431842501291502,0.7882923862449408,0.00011431842501291502,0.9025160806462794,0.00011431842501291502,0.7882923843988862,0.00011431842501291502,0.9025160802759966
